id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality
2325,6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
2326,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
2327,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
2328,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
2329,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
2330,7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5
2331,7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,6
2332,7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,5
2333,6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6
2334,6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8
2335,7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5
2336,8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5
2337,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5
2338,6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4
2339,7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
2340,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
2341,7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
2342,7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
2343,7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8
2344,6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5
2345,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
2346,8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6
2347,7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4
2348,7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6
2349,8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
2350,7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,5
2351,7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5
2352,7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
2353,6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6
2354,7,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7
2355,6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
2356,7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7
2357,7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
2358,8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5
2359,7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5
2360,6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5
2361,8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6
2362,8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5
2363,6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6
2364,6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5
2365,6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
2366,7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,5
2367,7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5
2368,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6
2369,7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6
2370,6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6
2371,6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7
2372,6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5
2373,6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4
2374,7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3
2375,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
2376,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6
2377,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
2378,7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
2379,9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
2380,6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4
2381,6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
2382,7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6
2383,6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
2384,6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
2385,6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
2386,7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5
2387,6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4
2388,6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4
2389,7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4
2390,6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,8
2391,7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
2392,6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6
2393,6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7
2394,6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6
2395,6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5
2396,7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5
2397,8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,5
2398,6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6
2399,8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6
2400,6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,6
2401,9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4
2402,9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
2403,8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6
2404,8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6
2405,9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5
2406,6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5
2407,7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6
2408,7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6
2409,7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5
2410,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
2411,7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,6
2412,8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
2413,6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
2414,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
2415,6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
2416,8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5
2417,7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6
2418,7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5
2419,6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5
2420,6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5
2421,8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
2422,6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
2423,6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
2424,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
2425,6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
2426,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
2427,7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6
2428,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
2429,7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6
2430,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
2431,6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5
2432,6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,5
2433,6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,5
2434,7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6
2435,8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6
2436,6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,4
2437,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
2438,8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6
2439,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
2440,7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6
2441,6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5
2442,7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6
2443,7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
2444,6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
2445,7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
2446,6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5
2447,6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,5
2448,6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6
2449,6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6
2450,6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6
2451,6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
2452,6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
2453,7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7
2454,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
2455,7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5
2456,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
2457,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
2458,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
2459,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
2460,6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
2461,6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
2462,8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5
2463,8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5
2464,7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7
2465,6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5
2466,7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5
2467,7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5
2468,7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6
2469,5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6
2470,6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5
2471,7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,5
2472,5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
2473,8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,6
2474,6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6
2475,6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
2476,7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5
2477,6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,6
2478,6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
2479,6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
2480,6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6
2481,6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
2482,6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
2483,6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6
2484,6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
2485,6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5
2486,8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6
2487,6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5
2488,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
2489,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
2490,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
2491,7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6
2492,6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,5
2493,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
2494,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
2495,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
2496,6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,5
2497,8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5
2498,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
2499,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
2500,6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6
2501,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
2502,6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,5
2503,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
2504,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
2505,8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6
2506,7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6
2507,6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6
2508,7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7
2509,6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6
2510,8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,5
2511,6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6
2512,6.2,0.3,0.49,11.2,0.058,68,215,0.99656,3.19,0.6,9.4,6
2513,5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6
2514,6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5
2515,6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7
2516,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7
2517,7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2,6
2518,7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6
2519,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7
2520,6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5
2521,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5
2522,6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
2523,7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
2524,8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,5
2525,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5
2526,7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
2527,6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
2528,7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6
2529,6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,6
2530,6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
2531,5.8,0.3,0.12,1.6,0.036,57,163,0.99239,3.38,0.59,10.5,6
2532,6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
2533,6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
2534,6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,5
2535,6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
2536,9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
2537,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
2538,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
2539,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
2540,6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5
2541,9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,5
2542,9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
2543,8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6,5
2544,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
2545,6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6
2546,7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,6
2547,6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,5
2548,6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
2549,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6
2550,7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5
2551,6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
2552,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6
2553,6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5
2554,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
2555,6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7
2556,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
2557,7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5
2558,6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7
2559,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
2560,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
2561,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
2562,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5
2563,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
2564,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
2565,6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
2566,7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,5
2567,6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,7
2568,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
2569,6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6
2570,6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,6
2571,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
2572,7,0.16,0.32,1.1,0.032,29,80,0.98972,3.23,0.36,12.1,6
2573,7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5
2574,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5
2575,6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5
2576,6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,6
2577,6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5
2578,6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5
2579,5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7
2580,6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6
2581,7.7,0.3,0.26,18.95,0.053,36,174,0.99976,3.2,0.5,10.4,5
2582,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
2583,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
2584,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
2585,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
2586,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
2587,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
2588,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6
2589,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
2590,7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,4
2591,6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,6
2592,6.7,0.34,0.3,8.5,0.059,24,152,0.99615,3.46,0.64,11,7
2593,7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5
2594,6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,5
2595,5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,7
2596,8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
2597,7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5
2598,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
2599,7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5
2600,6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9,6
2601,6.8,0.11,0.42,1.1,0.042,51,132,0.99059,3.18,0.74,11.3,7
2602,6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4,5
2603,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
2604,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
2605,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
2606,7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
2607,7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,6
2608,8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,6
2609,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
2610,7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
2611,6.3,0.27,0.46,11.1,0.053,44,177,0.99691,3.18,0.67,9.4,5
2612,6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5
2613,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
2614,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
2615,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
2616,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
2617,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
2618,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
2619,6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
2620,6.6,0.35,0.35,6,0.063,31,150,0.99537,3.1,0.47,9.4,6
2621,6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,5
2622,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
2623,6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
2624,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
2625,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
2626,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5
2627,8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,7
2628,7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7,7
2629,7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6
2630,5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5
2631,5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,6
